YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
1983,12,30,7.2,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.372,70.738,Earthquake
1985,7,3,7.2,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,-4.439,152.828,Earthquake
1987,3,6,7.2,ECUADOR,"ECUADOR:  NAPO PROVINCE, QUITO, TULCAN",0.083,-77.785,Earthquake
1987,11,17,7.2,USA,ALASKA:  GULF OF ALASKA,58.586,-143.27,Earthquake
1988,8,6,7.2,MYANMAR (BURMA),"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL",25.149,95.127,Earthquake
1991,10,14,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.094,158.442,Earthquake
1993,9,10,7.2,GUATEMALA,GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS,14.717,-92.645,Earthquake
1995,4,21,7.2,PHILIPPINES,PHILIPPINES:  SAMAR,12.059,125.58,Earthquake
1995,11,22,7.2,EGYPT,EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN,28.826,34.799,Earthquake
1996,4,29,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS:  BOUGAINVILLE ISLAND,-6.518,154.999,Earthquake
1997,1,11,7.2,MEXICO,"MEXICO:  MICHOACAN, ARTEAGA",18.219,-102.756,Earthquake
1997,5,10,7.2,IRAN,"IRAN:  BIRJAND, GHAEN",33.825,59.809,Earthquake
1998,8,4,7.2,ECUADOR,"ECUADOR:  BAHIA DE CARAQUEZ, CANOA",-0.593,-80.393,Earthquake
1999,10,16,7.2,USA,"CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS",34.594,-116.271,Earthquake
